"Time","rskj-miner1"
2026-02-10 12:52:00,1
2026-02-10 12:54:00,1
2026-02-10 13:00:00,1
2026-02-10 13:02:00,1
2026-02-10 13:18:00,1
2026-02-10 13:34:00,1
2026-02-10 13:36:00,1
2026-02-10 13:38:00,1
2026-02-10 13:44:00,1
2026-02-10 14:00:00,1
2026-02-10 14:42:00,1
2026-02-10 14:52:00,1
2026-02-10 15:06:00,1
2026-02-10 15:12:00,1
2026-02-10 15:18:00,1
2026-02-10 15:20:00,1
2026-02-10 16:00:00,1
2026-02-10 16:10:00,1
2026-02-10 16:22:00,1
2026-02-10 16:52:00,1
2026-02-10 17:04:00,1
2026-02-10 17:08:00,1
2026-02-10 17:10:00,1
2026-02-10 17:20:00,1
2026-02-10 17:36:00,1
2026-02-10 17:40:00,1
2026-02-10 17:50:00,1
2026-02-10 17:54:00,1
2026-02-10 17:58:00,1
2026-02-10 18:00:00,1
2026-02-10 18:18:00,1
2026-02-10 18:22:00,1
2026-02-10 18:36:00,1
2026-02-10 18:44:00,1
2026-02-10 18:46:00,1
2026-02-10 19:18:00,1
2026-02-10 19:20:00,1
2026-02-10 19:22:00,1
2026-02-10 19:40:00,1
2026-02-10 19:54:00,1
2026-02-10 19:56:00,1
2026-02-10 20:02:00,1
2026-02-10 20:14:00,1
2026-02-10 20:20:00,1
2026-02-10 20:24:00,1
2026-02-10 20:28:00,1
2026-02-10 20:30:00,1
2026-02-10 20:40:00,1
2026-02-10 21:22:00,1
2026-02-10 21:38:00,1
2026-02-10 21:40:00,1
2026-02-10 21:46:00,1
2026-02-10 21:58:00,1
2026-02-10 22:00:00,1
2026-02-10 22:06:00,1
2026-02-10 22:08:00,1
2026-02-10 22:20:00,1
2026-02-10 22:22:00,1
2026-02-10 22:30:00,1
2026-02-10 22:38:00,1
2026-02-10 22:40:00,1
2026-02-10 23:08:00,1
2026-02-10 23:10:00,1
2026-02-10 23:16:00,1
2026-02-10 23:24:00,1
2026-02-10 23:26:00,1
2026-02-10 23:36:00,1
2026-02-10 23:38:00,1
2026-02-10 23:46:00,1
2026-02-10 23:56:00,1
2026-02-11 00:22:00,1
2026-02-11 00:28:00,1
2026-02-11 00:30:00,1
2026-02-11 00:40:00,1
2026-02-11 00:42:00,1
2026-02-11 01:08:00,1
2026-02-11 01:28:00,1
2026-02-11 01:30:00,1
2026-02-11 01:46:00,1
2026-02-11 02:00:00,1
2026-02-11 02:16:00,1
2026-02-11 02:22:00,1
2026-02-11 02:28:00,1
2026-02-11 02:58:00,1
2026-02-11 03:00:00,1
2026-02-11 03:02:00,1
2026-02-11 03:06:00,1
2026-02-11 03:08:00,1
2026-02-11 03:10:00,1
2026-02-11 03:24:00,1
2026-02-11 03:36:00,1
2026-02-11 03:48:00,1
2026-02-11 03:56:00,1
2026-02-11 04:00:00,1
2026-02-11 04:22:00,1
2026-02-11 04:24:00,1
2026-02-11 04:26:00,1
2026-02-11 04:30:00,1
2026-02-11 04:46:00,1
2026-02-11 04:50:00,1
2026-02-11 05:00:00,1
2026-02-11 05:02:00,1
2026-02-11 05:06:00,1
2026-02-11 05:12:00,1
2026-02-11 05:18:00,1
2026-02-11 05:26:00,1
2026-02-11 05:30:00,1
2026-02-11 05:50:00,1
2026-02-11 05:56:00,1
2026-02-11 06:00:00,1
2026-02-11 06:02:00,1
2026-02-11 06:16:00,1
2026-02-11 06:20:00,1
2026-02-11 06:40:00,1
2026-02-11 06:46:00,1
2026-02-11 06:50:00,1
2026-02-11 07:12:00,1
2026-02-11 07:36:00,1
2026-02-11 07:38:00,1
2026-02-11 08:06:00,1
2026-02-11 08:10:00,1
2026-02-11 08:14:00,1
2026-02-11 08:18:00,1
2026-02-11 08:22:00,1
2026-02-11 08:28:00,1
2026-02-11 08:32:00,1
2026-02-11 08:44:00,1
2026-02-11 08:58:00,1
2026-02-11 09:24:00,1
2026-02-11 09:26:00,1
2026-02-11 09:34:00,1
2026-02-11 09:42:00,1
2026-02-11 09:46:00,1
2026-02-11 09:52:00,1
2026-02-11 09:58:00,1
2026-02-11 10:00:00,1
2026-02-11 10:06:00,1
2026-02-11 10:26:00,1
2026-02-11 10:28:00,1
2026-02-11 10:36:00,1
2026-02-11 10:40:00,1
2026-02-11 10:58:00,1
2026-02-11 11:00:00,1
2026-02-11 11:10:00,1
2026-02-11 11:12:00,1
2026-02-11 11:16:00,1
2026-02-11 11:24:00,1
2026-02-11 11:34:00,1
2026-02-11 11:48:00,1
2026-02-11 12:00:00,1
2026-02-11 12:10:00,1
2026-02-11 12:12:00,1
2026-02-11 12:28:00,1
2026-02-11 12:38:00,1
2026-02-11 12:48:00,1
